time,imbalance gamma=0J,imbalance gamma=0.1J,imbalance gamma=0.5J,imbalance gamma=1J,imbalance gamma=2J,imbalance gamma=5J
1.86,-0.200112105970503,-0.15568978219157856,-0.02006036620308918,0.0894263682332852,0.21307888793674917,0.3504516607987444
1.87,-0.2005266175654944,-0.15634586587026394,-0.021209442272988197,0.08815245786908907,0.21194036787611395,0.34974431945869444
1.8800000000000001,-0.20085892414641063,-0.1569355479268115,-0.022327061159162585,0.08689398082397831,0.21080791144650754,0.34903840579552936
1.8900000000000001,-0.2011093398457173,-0.15745916711580643,-0.023413473733093805,0.08565081426424179,0.20968148750103122,0.3483339169276767
1.9000000000000001,-0.20127820508882857,-0.1579170815621015,-0.024468935915872486,0.08442283473619051,0.20856106499146967,0.3476308499793548
1.9100000000000001,-0.20136588642204428,-0.15830966854620143,-0.025493708520963783,0.08320991821916175,0.20744661297162367,0.34692920208063305
1.92,-0.20137277633171743,-0.1586373242840821,-0.026488057097647663,0.08201194017633946,0.20633810059946894,0.34622897036739997
1.93,-0.2012992930547219,-0.1589004637015345,-0.027452251775108873,0.08082877560461044,0.20523549714013223,0.34553015198128656
1.94,-0.20114588038030026,-0.15909952020314766,-0.028386567107436308,0.07966029908386313,0.20413877196774935,0.34483274406967285
1.95,-0.20091300744337076,-0.15923494543601976,-0.02929128191946157,0.07850638482442125,0.20304789456811978,0.34413674378568293
1.96,-0.20060116850937595,-0.15930720904831078,-0.03016667915388356,0.07736690671292473,0.20196283454028877,0.34344214828818775
1.97,-0.2002108827507581,-0.15931679844273666,-0.031013045719338213,0.07624173835799017,0.20088356159890763,0.3427489547418021
1.98,-0.19974269401515665,-0.15926421852511463,-0.031830672339241216,0.07513075313435615,0.19981004557557192,0.3420571603168454
1.99,-0.19919717058541028,-0.1591499914480666,-0.03261985340175238,0.07403382422507666,0.19874225642089974,0.34136676218937306
2.0,-0.19857490493146668,-0.15897465634998814,-0.03338088681075735,0.07295082466366205,0.19768016420567333,0.3406777575412138
2.0100000000000002,-0.19787651345429016,-0.15873876908939666,-0.03411407383835765,0.07188162737499164,0.19662373912262338,0.33999014355984153
2.02,-0.19710263622187754,-0.15844290197476882,-0.034819718978427,0.07082610521408238,0.19557295148743672,0.33930391743837734
2.0300000000000002,-0.19625393669747118,-0.15808764348997884,-0.0354981298011436,0.06978413100486332,0.1945277717402255,0.3386190763755893
2.04,-0.19533110146008767,-0.15767359801545444,-0.03614961680878174,0.06875557757792083,0.19348817044646838,0.3379356175758885
2.05,-0.19433483991746622,-0.15720138554516322,-0.03677449329270865,0.06774031780606796,0.1924541182981305,0.33725353824933285
2.06,-0.1932658840115411,-0.15667164139954556,-0.03737307519212023,0.0667382246399112,0.1914255861146056,0.3365728356116258
2.07,-0.1921249879165652,-0.1560850159345124,-0.03794568095382905,0.06574917114253706,0.19040254484347613,0.33589350688407393
2.08,-0.19091292772998647,-0.15544217424663123,-0.038492631393294605,0.06477303052203667,0.18938496556146786,0.33521554929360176
2.09,-0.189630501156205,-0.15474379587461376,-0.03901424955699296,0.06380967616406799,0.1883728194749142,0.33453896007283185
2.1,-0.18827852718332927,-0.15399057449719808,-0.0395108605862046,0.06285898166358442,0.1873660779206449,0.333863736459932
2.11,-0.18685784575305275,-0.15318321762759934,-0.0399827915827177,0.06192082085445531,0.18636471236629967,0.33318987569860625
2.12,-0.18536931742377813,-0.1523224463046135,-0.04043037147550531,0.060995067839234654,0.18536869441102155,0.332517375038101
2.13,-0.1838138230271196,-0.15140899478050682,-0.040853930888927366,0.06008159701801527,0.18437799578576847,0.3318462317331993
2.14,-0.18219226331790703,-0.15044361020580743,-0.041253802012325154,0.05918028311530926,0.18339258835371408,0.33117644304422345
2.15,-0.18050555861782908,-0.14942705231113027,-0.041630318471303183,0.058291001207213845,0.1824124441106303,0.3305080062370365
2.16,-0.17875464845285147,-0.14836009308614992,-0.04198381520090996,0.05741362674745581,0.18143753518502137,0.3298409185830373
2.17,-0.17694049118453917,-0.1472435164558554,-0.04231462831982262,0.05654803559173688,0.18046783383849418,0.329175177359082
2.18,-0.1750640636354307,-0.14607811795420278,-0.042623095006250215,0.0556941040224494,0.1795033124657906,0.3285107798476184
2.19,-0.17312636070859563,-0.14486470439529536,-0.04290955337530884,0.05485170877197211,0.17854394359498732,0.3278477233366136
2.2,-0.17112839500152868,-0.14360409354221768,-0.04317434235842984,0.05402072704471083,0.17758969988756468,0.32718600511946355
2.21,-0.16907119641451251,-0.14229711377364326,-0.0434178015842783,0.05320103653948471,0.17664055413839685,0.32652562249499695
2.22,-0.16695581175360452,-0.1409446037483488,-0.04364027126107775,0.05239251547012691,0.1756964792758236,0.325866572767472
2.23,-0.16478330432839233,-0.13954741206775828,-0.043842092060585126,0.051595042585510925,0.17475744836155188,0.32520885324657733
2.24,-0.1625547535446694,-0.13810639693663923,-0.044023605003783675,0.05080849718960535,0.17382343459060637,0.3245524612474317
2.25,-0.16027125449217663,-0.1366224258220881,-0.04418515134874542,0.050032759159551216,0.1728944112912377,0.32389739409058615
2.2600000000000002,-0.1579339175275718,-0.13509637511093497,-0.04432707247966253,0.04926770896392952,0.17197035192476162,0.3232436491020157
2.27,-0.1555438678527722,-0.13352912976566078,-0.04444970979765795,0.04851322768034254,0.17105123008540268,0.3225912236130394
